id,codigoBarras,codigoLocal,nombre,descripcion,precioPublico,precioMayorista,tipoUnidad,cantidadInventario,anioCaducidad,mesCaducidad,diaCaducidad,presentacion,piezasPorPresentacion
1,1234545466,123,Producto 1 pción 1,Descripción 1,130,103,3,9.65,2030,10,1,2,12
2,2394664545,234,Producto 2,Descripcion 2,10,7,0,5,2026,11,2,1,24
3,3554783624,345,Producto 3,Descripcion 3,5,3.5,0,4,2027,9,3,1,36
4,4714902703,456,Producto 4,Descripcion 4,123,86.1,0,15,2028,8,4,1,48
5,5875021782,567,Producto 5,Descripcion 5,60.5,42.35,0,40,2030,12,3,1,60
6,7035140861,678,Producto 6,Descripcion 6,57.9,40.53,0,24,2026,12,1,1,72
7,8195259940,789,Producto 7,Descripcion 7,55.3,38.71,0,16,2027,12,2,1,84
8,9355379019,900,Producto 8,Descripcion 8,52.7,36.89,0,29,2028,11,3,1,96
9,10515498098,1011,Producto 9,Descripcion 9,50.1,35.07,0,20,2030,5,4,1,12
10,11675617177,1122,Producto 10,Descripcion 10,47.5,33.25,0,15,2026,4,3,1,24
11,12835736256,1233,Producto 11,Descripcion 11,44.9,31.43,0,24,2027,6,31,1,36
12,13995855335,1344,Producto 12,Descripcion 12,42.3,29.61,0,20,2028,7,1,1,48
13,15155974414,1455,Producto 13,Descripcion 13,39.7,27.79,0,5,2030,8,2,1,60
14,16316093493,1566,Producto 14,Descripcion 14,37.1,25.97,0,4,2026,4,3,1,72
15,17476212572,1677,Producto 15,Descripcion 15,34.5,24.15,0,15,2027,2,4,1,84
16,18636331651,1788,Producto 16,Descripcion 16,31.9,22.33,0,40,2028,1,3,1,72
17,19796450730,1899,Producto 17,Descripcion 17,29.3,20.51,0,23,2030,3,1,1,84
18,20956569809,2010,Producto 18,Descripcion 18,26.7,18.69,0,16,2026,5,2,1,96
19,22116688888,2121,Producto 19,Descripcion 19,24.1,16.87,0,30,2027,67,3,1,12
20,23276807967,2232,Producto 20,Descripcion 20,21.5,15.05,0,20,2028,8,4,1,24
21,24436927046,2343,Producto 21,Descripcion 21,18.9,13.23,0,15,2030,8,3,1,36
22,25597046125,2454,Producto 22,Descripcion 22,16.3,11.41,0,25,2026,8,31,1,12
23,26757165204,2565,Producto 23,Descripcion 23,13.7,9.59,0,20,2027,8,1,1,24
24,27917284283,2676,Producto 24,Descripcion 24,11.1,7.77,0,5,2028,86,2,1,36
25,29077403362,2787,Producto 25,Descripcion 25,8.5,5.95,0,4,2030,4,3,1,48
26,30237522441,2898,Producto 26,Descripcion 26,5.9,4.13,0,15,2026,4,4,1,60
27,31397641520,3009,Producto 27,Descripcion 27,3.3,2.31,0,40,2027,4,3,1,72
28,32557760599,3120,Producto 28,Descripcion 28,0.7,0.49,0,24,2028,44,1,1,84
29,33717879678,3231,Producto 29,Descripcion 29,5,3.5,0,16,2030,4,2,1,96
30,34877998757,3342,Producto 30,Descripcion 30,9,6.3,0,30,2026,4,3,1,12
31,36038117836,3453,Producto 31,Descripcion 31,9,6.3,0,20,2027,44,4,1,24
32,37198236915,3564,Producto 32,Descripcion 32,9,6.3,0,15,2028,4,3,1,36
33,38358355994,3675,Producto 33,Descripcion 33,8.46429,5.925,0,25,2030,4,31,1,48
34,39518475073,3786,Producto 34,Descripcion 34,8.94524,6.26167,0,20,2026,4,1,1,60
35,40678594152,3897,Producto 35,Descripcion 35,9.42619,6.59833,0,5,2027,1,2,1,72
36,41838713231,4008,Producto 36,Descripcion 36,9.90714,6.935,0,4,2028,1,3,1,84
37,42998832310,4119,Producto 37,Descripcion 37,10.3881,7.27167,0,15,2027,1,4,1,72
38,44158951389,4230,Producto 38,Descripcion 38,10.869,7.60833,0,40,2028,1,3,1,84
39,45319070468,4341,Producto 39,Descripcion 39,11.35,7.945,0,24,2030,1,1,1,96
40,46479189547,4452,Producto 40,Descripcion 40,11.831,8.28167,0,16,2026,1,2,1,12
41,47639308626,4563,Producto 41,Descripcion 41,12.3119,8.61833,0,30,2027,1,3,1,24
42,48799427705,4674,Producto 42,Descripcion 42,12.7929,8.955,0,20,2028,1,4,1,36
43,49959546784,4785,Producto 43,Descripcion 43,13.2738,9.29167,0,6,2030,11,3,2,6
44,51119665863,4896,Producto 44,Descripcion 44,13.7548,9.62833,0,25,2026,6,31,2,10
45,52279784942,5007,Producto 45,Descripcion 45,14.2357,9.965,0,20,2027,1,1,2,84
46,53439904021,5118,Producto 46,Descripcion 46,14.7167,10.3017,0,5,2028,1,2,2,72
47,54600023100,5229,Producto 47,Descripcion 47,15.1976,10.6383,0,3,2030,1,3,2,84
48,55760142179,5340,Producto 48,Descripcion 48,15.6786,10.975,0,15,2026,11,4,2,96
