id,codigoBarras,codigoLocal,nombre,precioPublico,precioMayorista,cantidad,presentacion
1,1234545466,123,Producto 1 pción 1,130,103,9.65,2
2,2394664545,234,Producto 2,10,7,5,1
3,3554783624,345,Producto 3,5,3.5,4,1
4,4714902703,456,Producto 4,123,86.1,15,1
5,5875021782,567,Producto 5,60.5,42.35,40,1
6,7035140861,678,Producto 6,57.9,40.53,24,1
7,8195259940,789,Producto 7,55.3,38.71,16,1
8,9355379019,900,Producto 8,52.7,36.89,29,1
9,10515498098,1011,Producto 9,50.1,35.07,20,1
10,11675617177,1122,Producto 10,47.5,33.25,15,1
11,12835736256,1233,Producto 11,44.9,31.43,25,1
12,13995855335,1344,Producto 12,42.3,29.61,20,1
13,15155974414,1455,Producto 13,39.7,27.79,5,1
14,16316093493,1566,Producto 14,37.1,25.97,4,1
15,17476212572,1677,Producto 15,34.5,24.15,15,1
16,18636331651,1788,Producto 16,31.9,22.33,40,1
17,19796450730,1899,Producto 17,29.3,20.51,23,1
18,20956569809,2010,Producto 18,26.7,18.69,16,1
19,22116688888,2121,Producto 19,24.1,16.87,30,1
20,23276807967,2232,Producto 20,21.5,15.05,20,1
21,24436927046,2343,Producto 21,18.9,13.23,15,1
22,25597046125,2454,Producto 22,16.3,11.41,25,1
23,26757165204,2565,Producto 23,13.7,9.59,20,1
24,27917284283,2676,Producto 24,11.1,7.77,5,1
25,29077403362,2787,Producto 25,8.5,5.95,4,1
26,30237522441,2898,Producto 26,5.9,4.13,15,1
27,31397641520,3009,Producto 27,3.3,2.31,40,1
28,32557760599,3120,Producto 28,0.7,0.49,24,1
29,33717879678,3231,Producto 29,5,3.5,16,1
30,34877998757,3342,Producto 30,9,6.3,30,1
31,36038117836,3453,Producto 31,9,6.3,20,1
32,37198236915,3564,Producto 32,9,6.3,15,1
33,38358355994,3675,Producto 33,8.46429,5.925,25,1
34,39518475073,3786,Producto 34,8.94524,6.26167,20,1
35,40678594152,3897,Producto 35,9.42619,6.59833,5,1
36,41838713231,4008,Producto 36,9.90714,6.935,4,1
37,42998832310,4119,Producto 37,10.3881,7.27167,15,1
38,44158951389,4230,Producto 38,10.869,7.60833,40,1
39,45319070468,4341,Producto 39,11.35,7.945,24,1
40,46479189547,4452,Producto 40,11.831,8.28167,16,1
41,47639308626,4563,Producto 41,12.3119,8.61833,30,1
42,48799427705,4674,Producto 42,12.7929,8.955,20,1
43,49959546784,4785,Producto 43,13.2738,9.29167,6,2
44,51119665863,4896,Producto 44,13.7548,9.62833,25,2
45,52279784942,5007,Producto 45,14.2357,9.965,20,2
46,53439904021,5118,Producto 46,14.7167,10.3017,5,2
47,54600023100,5229,Producto 47,15.1976,10.6383,3,2
48,55760142179,5340,Producto 48,15.6786,10.975,15,2
49,56920261258,5451,Producto 49,16.1595,11.3117,40,2
50,58080380337,5562,Producto 50,16.6405,11.6483,24,2
51,59240499416,5673,Producto 51,17.1214,11.985,16,2
52,60400618495,5784,Producto 52,17.6024,12.3217,3,2
53,61560737574,5895,Producto 53,18.0833,12.6583,20,2
54,62720856653,6006,Producto 54,18.5643,12.995,15,2
55,63880975732,6117,Producto 55,19.0452,13.3317,25,2
56,65041094811,6228,Producto 56,19.5262,13.6683,20,2
57,66201213890,6339,Producto 57,20.0071,14.005,5,2
58,67361332969,6450,Producto 58,20.4881,14.3417,4,2
59,68521452048,6561,Producto 59,20.969,14.6783,15,2
60,69681571127,6672,Producto 60,21.45,15.02,37,2
61,70841690206,6783,Producto 61,21.931,15.3517,24,2
62,72001809285,6894,Producto 62,22.4119,15.6883,16,2
63,73161928364,7005,Producto 63,22.8929,16.025,30,2
64,74322047443,7116,Producto 64,23.3738,16.3617,20,2
65,75482166522,7227,Producto 65,23.85,16.7,14,2
