idVenta,fechaHora,usuario,productoId,cantidad,precioUnitario,subtotal,totalVenta
1766267662,2025-12-20 16:54:22,admin,17,1,29.3,29.3,29.3
1766267727,2025-12-20 16:55:27,admin,8,1,52.7,52.7,187.362
1766267727,2025-12-20 16:55:27,admin,47,1,15.1976,15.1976,187.362
1766267727,2025-12-20 16:55:27,admin,43,9,13.2738,119.464,187.362
1766381476,2025-12-22 00:31:16,admin,60,1,21.45,21.45,21.45
1766381648,2025-12-22 00:34:08,admin,60,1,21.45,21.45,21.45
1766381729,2025-12-22 00:35:29,admin,60,1,21.45,21.45,21.45
1766381790,2025-12-22 00:36:30,admin,65,1,23.85,23.85,23.85
1766381833,2025-12-22 00:37:13,admin,52,1,17.6024,17.6024,17.6024
1766381875,2025-12-22 00:37:55,admin,52,1,17.6024,17.6024,457.662
1766381875,2025-12-22 00:37:55,admin,52,25,17.6024,440.06,457.662
1766498324,2025-12-23 08:58:44,admin,1,1,130,130,130
1766499251,2025-12-23 09:14:11,admin,1,1,130,130,130
1766506556,2025-12-23 11:15:56,admin,1,0.36,130,46.8,46.8
